SpecimenID,ImageID,FileMD5,SessionID,SessionCollectorName,SessionCollectionDate,SessionCollectionMethod,SessionSpecimenCondition,SessionNotes,SessionCreatedAt,SessionCompletedAt,SessionSubmittedAt,SessionUpdatedAt,SessionHardwareID,ProgramCountry,DeviceID,DeviceModel,DownloadedFilename,SpeciesLabel,PhoneModel
VAB548,29832,245c2766c1db6493c682a722124305d8,2473,Joselyn,2026-06-17T17:59:15.000Z,Other insectry,Fresh,anopheles Stephensi,2026-06-17T17:59:15.000Z,2026-06-17T19:09:10.000Z,2026-06-18T02:10:24.000Z,2026-06-18T02:10:24.000Z,Moto G Play 2021,United States of America,238,motorola moto g play (2021),image_29832_18a10c54b801b0300fca4a410ff30601.jpg,anopheles_stephensi,Moto G Play 2021
VAB548,29833,d18014ec07176ee59330f3ec2286a6a8,2473,Joselyn,2026-06-17T17:59:15.000Z,Other insectry,Fresh,anopheles Stephensi,2026-06-17T17:59:15.000Z,2026-06-17T19:09:10.000Z,2026-06-18T02:10:24.000Z,2026-06-18T02:10:24.000Z,Moto G Play 2021,United States of America,238,motorola moto g play (2021),image_29833_1a451ff0d5358bd7862f27713d9b752d.jpg,anopheles_stephensi,Moto G Play 2021
VAB548,29834,d74f42bc1e7e95bcf6692e587b0f18cf,2473,Joselyn,2026-06-17T17:59:15.000Z,Other insectry,Fresh,anopheles Stephensi,2026-06-17T17:59:15.000Z,2026-06-17T19:09:10.000Z,2026-06-18T02:10:24.000Z,2026-06-18T02:10:24.000Z,Moto G Play 2021,United States of America,238,motorola moto g play (2021),image_29834_f92eb9c17aeece00bcc39d22bfcb6333.jpg,anopheles_stephensi,Moto G Play 2021
VAB548,29835,1124313fa612ea5260f04b84e6281c51,2473,Joselyn,2026-06-17T17:59:15.000Z,Other insectry,Fresh,anopheles Stephensi,2026-06-17T17:59:15.000Z,2026-06-17T19:09:10.000Z,2026-06-18T02:10:24.000Z,2026-06-18T02:10:24.000Z,Moto G Play 2021,United States of America,238,motorola moto g play (2021),image_29835_963ed927fba17ac150a275d34dbf315c.jpg,anopheles_stephensi,Moto G Play 2021
VAB548,29836,d8d8395b1369b832f43db2a10efc200b,2473,Joselyn,2026-06-17T17:59:15.000Z,Other insectry,Fresh,anopheles Stephensi,2026-06-17T17:59:15.000Z,2026-06-17T19:09:10.000Z,2026-06-18T02:10:24.000Z,2026-06-18T02:10:24.000Z,Moto G Play 2021,United States of America,238,motorola moto g play (2021),image_29836_6050c3f9c2fb36af838ca45325eb8ed1.jpg,anopheles_stephensi,Moto G Play 2021
VAB547,29827,66d7aede215cce2164210b474d64037a,2473,Joselyn,2026-06-17T17:59:15.000Z,Other insectry,Fresh,anopheles Stephensi,2026-06-17T17:59:15.000Z,2026-06-17T19:09:10.000Z,2026-06-18T02:10:24.000Z,2026-06-18T02:10:24.000Z,Moto G Play 2021,United States of America,238,motorola moto g play (2021),image_29827_97c3932f2a139ed9060b38180ecf5845.jpg,anopheles_stephensi,Moto G Play 2021
VAB547,29828,36b8b46c7db70ca882a28b835cd8cd94,2473,Joselyn,2026-06-17T17:59:15.000Z,Other insectry,Fresh,anopheles Stephensi,2026-06-17T17:59:15.000Z,2026-06-17T19:09:10.000Z,2026-06-18T02:10:24.000Z,2026-06-18T02:10:24.000Z,Moto G Play 2021,United States of America,238,motorola moto g play (2021),image_29828_91abe8ca3a4e5116b69597f14d65087c.jpg,anopheles_stephensi,Moto G Play 2021
VAB547,29829,aa4db3d4de72546eda40469cd641d949,2473,Joselyn,2026-06-17T17:59:15.000Z,Other insectry,Fresh,anopheles Stephensi,2026-06-17T17:59:15.000Z,2026-06-17T19:09:10.000Z,2026-06-18T02:10:24.000Z,2026-06-18T02:10:24.000Z,Moto G Play 2021,United States of America,238,motorola moto g play (2021),image_29829_91c045ddabfbd40a8a8794358261468d.jpg,anopheles_stephensi,Moto G Play 2021
VAB547,29830,b76ba083f2fe91821d6c99b5fd482e4f,2473,Joselyn,2026-06-17T17:59:15.000Z,Other insectry,Fresh,anopheles Stephensi,2026-06-17T17:59:15.000Z,2026-06-17T19:09:10.000Z,2026-06-18T02:10:24.000Z,2026-06-18T02:10:24.000Z,Moto G Play 2021,United States of America,238,motorola moto g play (2021),image_29830_f516a0e95ebe65094cb1834887f5fde2.jpg,anopheles_stephensi,Moto G Play 2021
VAB547,29831,2697d27a72187ccb7af2d4cda14f8f71,2473,Joselyn,2026-06-17T17:59:15.000Z,Other insectry,Fresh,anopheles Stephensi,2026-06-17T17:59:15.000Z,2026-06-17T19:09:10.000Z,2026-06-18T02:10:24.000Z,2026-06-18T02:10:24.000Z,Moto G Play 2021,United States of America,238,motorola moto g play (2021),image_29831_8ae23eae5e1b7abb8c1717a2e5a37ef7.jpg,anopheles_stephensi,Moto G Play 2021
