SpecimenID,ImageID,FileMD5,SessionID,SessionCollectorName,SessionCollectionDate,SessionCollectionMethod,SessionSpecimenCondition,SessionNotes,SessionCreatedAt,SessionCompletedAt,SessionSubmittedAt,SessionUpdatedAt,SessionHardwareID,ProgramCountry,DeviceID,DeviceModel,DownloadedFilename,SpeciesLabel,PhoneModel
VAB758,26563,7c99bfe8a3db17fe28a13a820358d12b,2324,Thomas Tseng,2026-06-10T21:31:48.000Z,Other Insectary,Fresh,Anopheles Gambiae,2026-06-10T21:31:48.000Z,2026-06-10T21:37:26.000Z,2026-06-10T21:37:28.000Z,2026-06-10T21:37:28.000Z,ZTE Blade A36,United States of America,239,ZTE Z2472,image_26563_da7518cb0465f77876a569e4c2e6b774.jpg,anopheles_gambiae,ZTE Blade A36
VAB758,26564,b69844f1f08390e32787fdd60bd323e8,2324,Thomas Tseng,2026-06-10T21:31:48.000Z,Other Insectary,Fresh,Anopheles Gambiae,2026-06-10T21:31:48.000Z,2026-06-10T21:37:26.000Z,2026-06-10T21:37:28.000Z,2026-06-10T21:37:28.000Z,ZTE Blade A36,United States of America,239,ZTE Z2472,image_26564_4fc7418b4e99942f69c2a33c0fc702b3.jpg,anopheles_gambiae,ZTE Blade A36
VAB758,26565,0d3d7835ac48d5183f615aa2053185d6,2324,Thomas Tseng,2026-06-10T21:31:48.000Z,Other Insectary,Fresh,Anopheles Gambiae,2026-06-10T21:31:48.000Z,2026-06-10T21:37:26.000Z,2026-06-10T21:37:28.000Z,2026-06-10T21:37:28.000Z,ZTE Blade A36,United States of America,239,ZTE Z2472,image_26565_53961861a5ce0e1fbc606c75e90e9bdf.jpg,anopheles_gambiae,ZTE Blade A36
VAB758,26566,49bbd39ba6345a7d9ec93b701471e689,2324,Thomas Tseng,2026-06-10T21:31:48.000Z,Other Insectary,Fresh,Anopheles Gambiae,2026-06-10T21:31:48.000Z,2026-06-10T21:37:26.000Z,2026-06-10T21:37:28.000Z,2026-06-10T21:37:28.000Z,ZTE Blade A36,United States of America,239,ZTE Z2472,image_26566_f2dc04e2612d98b88ee69366550955bd.jpg,anopheles_gambiae,ZTE Blade A36
VAB758,26567,8416cdc377fe4ca9288f7c4c4163730c,2324,Thomas Tseng,2026-06-10T21:31:48.000Z,Other Insectary,Fresh,Anopheles Gambiae,2026-06-10T21:31:48.000Z,2026-06-10T21:37:26.000Z,2026-06-10T21:37:28.000Z,2026-06-10T21:37:28.000Z,ZTE Blade A36,United States of America,239,ZTE Z2472,image_26567_5961809c648ae16def58438b2773544e.jpg,anopheles_gambiae,ZTE Blade A36
VAB756,26553,bb10b7a7ce8032227ebb157ab9d8a126,2324,Thomas Tseng,2026-06-10T21:31:48.000Z,Other Insectary,Fresh,Anopheles Gambiae,2026-06-10T21:31:48.000Z,2026-06-10T21:37:26.000Z,2026-06-10T21:37:28.000Z,2026-06-10T21:37:28.000Z,ZTE Blade A36,United States of America,239,ZTE Z2472,image_26553_e98032bbbe14271ca63eeab2e493723d.jpg,anopheles_gambiae,ZTE Blade A36
VAB756,26554,b93c70b206fb2b45c7b47afbe37fde37,2324,Thomas Tseng,2026-06-10T21:31:48.000Z,Other Insectary,Fresh,Anopheles Gambiae,2026-06-10T21:31:48.000Z,2026-06-10T21:37:26.000Z,2026-06-10T21:37:28.000Z,2026-06-10T21:37:28.000Z,ZTE Blade A36,United States of America,239,ZTE Z2472,image_26554_4b496b48d9c05f0fc288c40e95dc047d.jpg,anopheles_gambiae,ZTE Blade A36
VAB756,26555,6a72358f8df1223068985058138cb0a4,2324,Thomas Tseng,2026-06-10T21:31:48.000Z,Other Insectary,Fresh,Anopheles Gambiae,2026-06-10T21:31:48.000Z,2026-06-10T21:37:26.000Z,2026-06-10T21:37:28.000Z,2026-06-10T21:37:28.000Z,ZTE Blade A36,United States of America,239,ZTE Z2472,image_26555_a75fed0a391098a6093e02c9db957417.jpg,anopheles_gambiae,ZTE Blade A36
VAB756,26556,48d601adbcc2b100ec2d6b51535065ec,2324,Thomas Tseng,2026-06-10T21:31:48.000Z,Other Insectary,Fresh,Anopheles Gambiae,2026-06-10T21:31:48.000Z,2026-06-10T21:37:26.000Z,2026-06-10T21:37:28.000Z,2026-06-10T21:37:28.000Z,ZTE Blade A36,United States of America,239,ZTE Z2472,image_26556_c291a79104dab56abef7efc626e88d15.jpg,anopheles_gambiae,ZTE Blade A36
VAB756,26557,b5bf4219330a2a5f6dd5a21043bc8ff8,2324,Thomas Tseng,2026-06-10T21:31:48.000Z,Other Insectary,Fresh,Anopheles Gambiae,2026-06-10T21:31:48.000Z,2026-06-10T21:37:26.000Z,2026-06-10T21:37:28.000Z,2026-06-10T21:37:28.000Z,ZTE Blade A36,United States of America,239,ZTE Z2472,image_26557_56edde4ca6bc6742a1d0a14ab1315299.jpg,anopheles_gambiae,ZTE Blade A36
