SpecimenID,ImageID,FileMD5,SessionID,SessionCollectorName,SessionCollectionDate,SessionCollectionMethod,SessionSpecimenCondition,SessionNotes,SessionCreatedAt,SessionCompletedAt,SessionSubmittedAt,SessionUpdatedAt,SessionHardwareID,ProgramCountry,DeviceID,DeviceModel,DownloadedFilename,SpeciesLabel,PhoneModel
BAB587,15260,6d71d458da770d7ee5c813b952c47c53,913,Sunny,2026-03-14T12:39:53.000Z,Other wild caught,Dessicated,Aedes aegypti,2026-03-14T12:39:53.000Z,2026-03-14T15:36:36.000Z,2026-03-15T14:25:33.000Z,2026-03-15T14:25:33.000Z,tablet small,Kenya,162,samsung SM-T225N,image_15260_1003155f73abec34d19fc45cb7370ad5.jpg,aedes_aegypti,samsung SM-T225N
BAB586,15259,ccbe57e733161455d5e3e21ad8e70875,913,Sunny,2026-03-14T12:39:53.000Z,Other wild caught,Dessicated,Aedes aegypti,2026-03-14T12:39:53.000Z,2026-03-14T15:36:36.000Z,2026-03-15T14:25:33.000Z,2026-03-15T14:25:33.000Z,tablet small,Kenya,162,samsung SM-T225N,image_15259_4904bde8962551760602e8b4db7c1b49.jpg,aedes_aegypti,samsung SM-T225N
BAB585,15258,86f78ec56d68d8eb8690acb93125112e,913,Sunny,2026-03-14T12:39:53.000Z,Other wild caught,Dessicated,Aedes aegypti,2026-03-14T12:39:53.000Z,2026-03-14T15:36:36.000Z,2026-03-15T14:25:33.000Z,2026-03-15T14:25:33.000Z,tablet small,Kenya,162,samsung SM-T225N,image_15258_dbe6edcfb9d0a74081bff716fe8e16b6.jpg,aedes_aegypti,samsung SM-T225N
BAB583,15256,7b99715e7feb1074cd964ec2b747a9d8,913,Sunny,2026-03-14T12:39:53.000Z,Other wild caught,Dessicated,Aedes aegypti,2026-03-14T12:39:53.000Z,2026-03-14T15:36:36.000Z,2026-03-15T14:25:33.000Z,2026-03-15T14:25:33.000Z,tablet small,Kenya,162,samsung SM-T225N,image_15256_535c6b94e9b4085249cebcb2fffca76c.jpg,aedes_aegypti,samsung SM-T225N
BAB582,15255,1eae82867d820fa32283ad880e58d267,913,Sunny,2026-03-14T12:39:53.000Z,Other wild caught,Dessicated,Aedes aegypti,2026-03-14T12:39:53.000Z,2026-03-14T15:36:36.000Z,2026-03-15T14:25:33.000Z,2026-03-15T14:25:33.000Z,tablet small,Kenya,162,samsung SM-T225N,image_15255_61ced7aef0c06a4032727219b7698162.jpg,aedes_aegypti,samsung SM-T225N
BAB581,15254,6af4411c9ba4305e10cc8557dad0c1ae,913,Sunny,2026-03-14T12:39:53.000Z,Other wild caught,Dessicated,Aedes aegypti,2026-03-14T12:39:53.000Z,2026-03-14T15:36:36.000Z,2026-03-15T14:25:33.000Z,2026-03-15T14:25:33.000Z,tablet small,Kenya,162,samsung SM-T225N,image_15254_92853d7dec8eecdd116a3279ef1374e9.jpg,aedes_aegypti,samsung SM-T225N
BAB496,15252,64ac5ec8cdef329ffb1bcf3d54b114c4,913,Sunny,2026-03-14T12:39:53.000Z,Other wild caught,Dessicated,Aedes aegypti,2026-03-14T12:39:53.000Z,2026-03-14T15:36:36.000Z,2026-03-15T14:25:33.000Z,2026-03-15T14:25:33.000Z,tablet small,Kenya,162,samsung SM-T225N,image_15252_f4caa5d272758a56afaf9d5027f3a781.jpg,aedes_aegypti,samsung SM-T225N
BAB494,15250,0733f9cbf1641f2b7352b6d5a3524ec6,913,Sunny,2026-03-14T12:39:53.000Z,Other wild caught,Dessicated,Aedes aegypti,2026-03-14T12:39:53.000Z,2026-03-14T15:36:36.000Z,2026-03-15T14:25:33.000Z,2026-03-15T14:25:33.000Z,tablet small,Kenya,162,samsung SM-T225N,image_15250_4e5708cccb49d0acbcb8079f3089a2ad.jpg,aedes_aegypti,samsung SM-T225N
BAB493,15249,60bd203734f594b69913ad54a191cbf4,913,Sunny,2026-03-14T12:39:53.000Z,Other wild caught,Dessicated,Aedes aegypti,2026-03-14T12:39:53.000Z,2026-03-14T15:36:36.000Z,2026-03-15T14:25:33.000Z,2026-03-15T14:25:33.000Z,tablet small,Kenya,162,samsung SM-T225N,image_15249_c8cac9d3f0adc0f2b15439c0d8fb27c2.jpg,aedes_aegypti,samsung SM-T225N
BAB491,15247,23ebc03d6d7431a48b1ec7779fd28483,913,Sunny,2026-03-14T12:39:53.000Z,Other wild caught,Dessicated,Aedes aegypti,2026-03-14T12:39:53.000Z,2026-03-14T15:36:36.000Z,2026-03-15T14:25:33.000Z,2026-03-15T14:25:33.000Z,tablet small,Kenya,162,samsung SM-T225N,image_15247_17ebb39753dd92596122326166b54f45.jpg,aedes_aegypti,samsung SM-T225N
